date,code,f_score
2011-05-03,000001.SZ,
2011-05-03,000002.SZ,5.0
2011-05-03,000004.SZ,6.0
2011-05-03,000006.SZ,6.0
2011-05-03,000007.SZ,9.0
2011-05-03,000008.SZ,
2011-05-03,000009.SZ,4.0
2011-05-03,000011.SZ,5.0
2011-05-03,000012.SZ,8.0
2011-05-03,000014.SZ,6.0
2011-05-03,000017.SZ,5.0
2011-05-03,000019.SZ,5.0
2011-05-03,000020.SZ,7.0
2011-05-03,000021.SZ,4.0
2011-05-03,000025.SZ,6.0
2011-05-03,000026.SZ,5.0
2011-05-03,000027.SZ,7.0
2011-05-03,000028.SZ,7.0
2011-05-03,000029.SZ,6.0
2011-05-03,000030.SZ,
2011-05-03,000031.SZ,4.0
2011-05-03,000032.SZ,4.0
2011-05-03,000033.SZ,8.0
2011-05-03,000034.SZ,8.0
2011-05-03,000035.SZ,4.0
2011-05-03,000036.SZ,5.0
2011-05-03,000037.SZ,4.0
2011-05-03,000039.SZ,6.0
2011-05-03,000042.SZ,6.0
2011-05-03,000045.SZ,5.0
2011-05-03,000048.SZ,4.0
2011-05-03,000049.SZ,
2011-05-03,000050.SZ,7.0
2011-05-03,000055.SZ,5.0
2011-05-03,000058.SZ,6.0
2011-05-03,000059.SZ,6.0
2011-05-03,000060.SZ,4.0
2011-05-03,000061.SZ,5.0
2011-05-03,000062.SZ,
2011-05-03,000063.SZ,5.0
2011-05-03,000065.SZ,7.0
2011-05-03,000066.SZ,3.0
2011-05-03,000068.SZ,4.0
2011-05-03,000069.SZ,4.0
2011-05-03,000070.SZ,7.0
2011-05-03,000088.SZ,5.0
2011-05-03,000089.SZ,6.0
2011-05-03,000090.SZ,6.0
2011-05-03,000096.SZ,5.0
2011-05-03,000099.SZ,9.0
2011-05-03,000100.SZ,5.0
2011-05-03,000151.SZ,5.0
2011-05-03,000153.SZ,7.0
2011-05-03,000155.SZ,2.0
2011-05-03,000156.SZ,6.0
2011-05-03,000157.SZ,7.0
2011-05-03,000158.SZ,5.0
2011-05-03,000159.SZ,6.0
2011-05-03,000301.SZ,6.0
2011-05-03,000333.SZ,
2011-05-03,000338.SZ,8.0
2011-05-03,000400.SZ,6.0
2011-05-03,000401.SZ,4.0
2011-05-03,000402.SZ,2.0
2011-05-03,000403.SZ,8.0
2011-05-03,000404.SZ,5.0
2011-05-03,000407.SZ,5.0
2011-05-03,000408.SZ,8.0
2011-05-03,000409.SZ,4.0
2011-05-03,000410.SZ,4.0
2011-05-03,000411.SZ,8.0
2011-05-03,000415.SZ,8.0
2011-05-03,000417.SZ,9.0
2011-05-03,000419.SZ,8.0
2011-05-03,000420.SZ,5.0
2011-05-03,000421.SZ,6.0
2011-05-03,000422.SZ,8.0
2011-05-03,000423.SZ,5.0
2011-05-03,000425.SZ,5.0
2011-05-03,000426.SZ,5.0
2011-05-03,000428.SZ,6.0
2011-05-03,000429.SZ,5.0
2011-05-03,000430.SZ,
2011-05-03,000498.SZ,
2011-05-03,000501.SZ,6.0
2011-05-03,000503.SZ,5.0
2011-05-03,000504.SZ,7.0
2011-05-03,000505.SZ,8.0
2011-05-03,000506.SZ,7.0
2011-05-03,000507.SZ,7.0
2011-05-03,000509.SZ,
2011-05-03,000510.SZ,9.0
2011-05-03,000513.SZ,6.0
2011-05-03,000514.SZ,3.0
2011-05-03,000515.SZ,
2011-05-03,000516.SZ,7.0
2011-05-03,000517.SZ,2.0
2011-05-03,000518.SZ,6.0
2011-05-03,000519.SZ,6.0
2011-05-03,000520.SZ,5.0
2011-05-03,000521.SZ,5.0
2011-05-03,000523.SZ,6.0
2011-05-03,000524.SZ,9.0
2011-05-03,000525.SZ,2.0
2011-05-03,000526.SZ,7.0
2011-05-03,000528.SZ,6.0
2011-05-03,000529.SZ,7.0
2011-05-03,000530.SZ,7.0
2011-05-03,000531.SZ,5.0
2011-05-03,000532.SZ,
2011-05-03,000533.SZ,3.0
2011-05-03,000534.SZ,4.0
2011-05-03,000536.SZ,7.0
2011-05-03,000537.SZ,6.0
2011-05-03,000538.SZ,5.0
2011-05-03,000539.SZ,2.0
2011-05-03,000541.SZ,6.0
2011-05-03,000543.SZ,5.0
2011-05-03,000544.SZ,8.0
2011-05-03,000545.SZ,5.0
2011-05-03,000546.SZ,6.0
2011-05-03,000547.SZ,6.0
2011-05-03,000548.SZ,6.0
2011-05-03,000550.SZ,7.0
2011-05-03,000551.SZ,6.0
2011-05-03,000552.SZ,6.0
2011-05-03,000553.SZ,7.0
2011-05-03,000554.SZ,6.0
2011-05-03,000555.SZ,8.0
2011-05-03,000557.SZ,
2011-05-03,000558.SZ,4.0
2011-05-03,000559.SZ,6.0
2011-05-03,000560.SZ,5.0
2011-05-03,000561.SZ,
2011-05-03,000563.SZ,8.0
2011-05-03,000564.SZ,6.0
2011-05-03,000565.SZ,3.0
2011-05-03,000566.SZ,
2011-05-03,000567.SZ,7.0
2011-05-03,000568.SZ,7.0
2011-05-03,000570.SZ,4.0
2011-05-03,000571.SZ,6.0
2011-05-03,000572.SZ,8.0
2011-05-03,000573.SZ,9.0
2011-05-03,000576.SZ,3.0
2011-05-03,000578.SZ,4.0
2011-05-03,000581.SZ,8.0
2011-05-03,000582.SZ,5.0
2011-05-03,000584.SZ,
2011-05-03,000585.SZ,3.0
2011-05-03,000586.SZ,7.0
2011-05-03,000589.SZ,4.0
2011-05-03,000590.SZ,9.0
2011-05-03,000591.SZ,7.0
2011-05-03,000592.SZ,5.0
2011-05-03,000593.SZ,5.0
2011-05-03,000595.SZ,3.0
2011-05-03,000596.SZ,8.0
2011-05-03,000597.SZ,6.0
2011-05-03,000598.SZ,6.0
2011-05-03,000599.SZ,5.0
2011-05-03,000600.SZ,6.0
2011-05-03,000601.SZ,7.0
2011-05-03,000603.SZ,6.0
2011-05-03,000605.SZ,4.0
2011-05-03,000607.SZ,4.0
2011-05-03,000608.SZ,5.0
2011-05-03,000611.SZ,6.0
2011-05-03,000612.SZ,6.0
2011-05-03,000613.SZ,8.0
2011-05-03,000617.SZ,3.0
2011-05-03,000619.SZ,4.0
2011-05-03,000620.SZ,
2011-05-03,000622.SZ,
2011-05-03,000623.SZ,6.0
2011-05-03,000625.SZ,5.0
2011-05-03,000626.SZ,4.0
2011-05-03,000627.SZ,
2011-05-03,000628.SZ,4.0
2011-05-03,000629.SZ,6.0
2011-05-03,000630.SZ,5.0
2011-05-03,000631.SZ,5.0
2011-05-03,000633.SZ,5.0
2011-05-03,000635.SZ,8.0
2011-05-03,000636.SZ,9.0
2011-05-03,000637.SZ,6.0
2011-05-03,000638.SZ,
2011-05-03,000650.SZ,2.0
2011-05-03,000651.SZ,4.0
2011-05-03,000652.SZ,4.0
2011-05-03,000655.SZ,8.0
2011-05-03,000656.SZ,
2011-05-03,000657.SZ,9.0
2011-05-03,000659.SZ,5.0
2011-05-03,000661.SZ,8.0
2011-05-03,000663.SZ,4.0
2011-05-03,000665.SZ,9.0
2011-05-03,000668.SZ,5.0
2011-05-03,000670.SZ,6.0
2011-05-03,000672.SZ,8.0
2011-05-03,000676.SZ,7.0
2011-05-03,000678.SZ,4.0
2011-05-03,000679.SZ,8.0
2011-05-03,000680.SZ,5.0
2011-05-03,000681.SZ,4.0
2011-05-03,000682.SZ,6.0
2011-05-03,000683.SZ,5.0
2011-05-03,000685.SZ,4.0
2011-05-03,000686.SZ,
2011-05-03,000688.SZ,
2011-05-03,000690.SZ,3.0
2011-05-03,000691.SZ,
2011-05-03,000692.SZ,
2011-05-03,000695.SZ,8.0
2011-05-03,000697.SZ,3.0
2011-05-03,000700.SZ,5.0
2011-05-03,000701.SZ,6.0
2011-05-03,000702.SZ,6.0
2011-05-03,000703.SZ,9.0
2011-05-03,000705.SZ,6.0
2011-05-03,000707.SZ,7.0
2011-05-03,000708.SZ,8.0
2011-05-03,000709.SZ,5.0
2011-05-03,000710.SZ,6.0
2011-05-03,000712.SZ,5.0
2011-05-03,000713.SZ,6.0
2011-05-03,000715.SZ,5.0
2011-05-03,000716.SZ,7.0
2011-05-03,000717.SZ,6.0
2011-05-03,000718.SZ,2.0
2011-05-03,000719.SZ,
2011-05-03,000720.SZ,4.0
2011-05-03,000721.SZ,6.0
2011-05-03,000722.SZ,8.0
2011-05-03,000723.SZ,8.0
2011-05-03,000725.SZ,1.0
2011-05-03,000726.SZ,9.0
2011-05-03,000727.SZ,6.0
2011-05-03,000728.SZ,
2011-05-03,000729.SZ,8.0
2011-05-03,000731.SZ,6.0
2011-05-03,000733.SZ,6.0
2011-05-03,000735.SZ,5.0
2011-05-03,000736.SZ,6.0
2011-05-03,000737.SZ,6.0
2011-05-03,000738.SZ,5.0
2011-05-03,000739.SZ,5.0
2011-05-03,000750.SZ,3.0
2011-05-03,000751.SZ,5.0
2011-05-03,000753.SZ,4.0
2011-05-03,000755.SZ,5.0
2011-05-03,000756.SZ,4.0
2011-05-03,000757.SZ,3.0
2011-05-03,000758.SZ,
2011-05-03,000759.SZ,8.0
2011-05-03,000761.SZ,9.0
2011-05-03,000762.SZ,8.0
2011-05-03,000766.SZ,5.0
2011-05-03,000767.SZ,3.0
2011-05-03,000768.SZ,5.0
2011-05-03,000776.SZ,
2011-05-03,000777.SZ,5.0
2011-05-03,000778.SZ,4.0
2011-05-03,000779.SZ,8.0
2011-05-03,000780.SZ,9.0
2011-05-03,000782.SZ,7.0
2011-05-03,000783.SZ,
2011-05-03,000785.SZ,9.0
2011-05-03,000786.SZ,6.0
2011-05-03,000788.SZ,4.0
